"beta","Alpha0","kappa"
0.541709636976503,0.755672399988936,0.116115070109453
3.21312461144183,0.328712950026858,0.116739341368297
2.22227095587487,0.106680292332315,0.140324658369338
2.22640574678384,0.62459328162569,0.112315691649264
2.95712207043822,0.442707427644365,0.117071166259456
1.15103716969591,0.884283069228491,0.113262125208475
2.71664705818946,0.173436069534543,0.108930018384011
1.13085697589403,0.0272754137470764,0.109076801656884
0.357229187084285,0.652331247520552,0.113236465559448
3.71861186385686,0.01499889821255,0.0818933311783792
1.04222141293585,0.399769083048523,0.111061734881643
2.39903425202575,0.445759564821921,0.123247827048703
1.12647389721822,0.596205091960521,0.119872303426501
1.54374565163675,0.715758303710922,0.117571622998375
10.1468423963018,0.0396488569456763,0.15597017683247
1.39747310494964,0.558821018323594,0.12928995308722
2.60073639066884,0.337657616084798,0.114398912578487
1.60064308578754,0.776992424313861,0.130361650018195
0.753133314882118,0.720613147681998,0.114295231129517
5.54651059054518,0.0113766799217864,0.138185951409241
2.56887465248697,0.0191975291792983,0.0917441161469893
1.18380455125652,0.106154292922411,0.101106700353847
2.08732741438104,0.430298402729322,0.106538673585166
2.53410562225091,0.275910357027283,0.127660243010605
1.13040848886742,0.487439692512067,0.111604900349896
1.18102240030852,0.223315850602851,0.120361139847687
