"beta","Alpha0","kappa"
0.550690014174124,0.745808183761696,0.120111534134438
3.16904696185764,0.325174612768155,0.131081771508754
2.24331457877936,0.10135296368633,0.149186563159305
2.2048607969304,0.63258225335749,0.115567245018092
2.94460042423689,0.447914627783638,0.127027458228051
1.15115451154749,0.891594139139962,0.117317350710124
2.83910246812037,0.159376571212552,0.117093559193123
1.19097026717442,0.0250904390876483,0.117646252146749
0.354775775545341,0.662246395394316,0.118024628065295
3.86669436972827,0.0146469895978814,0.0850275921686506
1.04828343895539,0.395977008878652,0.115568378137871
2.36040799057888,0.459483559737791,0.130985816800823
1.11796646401199,0.612167540193672,0.125044601575867
1.53039567460584,0.725078260787164,0.122457346077827
10.22257796648,0.0414793088673104,0.172772341933829
1.38856254079821,0.573042367110248,0.145011134512932
2.57972239719154,0.341444272395317,0.117712953969166
1.60478797083769,0.786955846634692,0.137855854643428
0.751110017862212,0.730369743169,0.116386103418476
5.51964904938113,0.0105667638008659,0.150375615260624
2.72905422909755,0.0157024076862388,0.101384120661732
1.22771419753102,0.104325178572898,0.108544634994877
2.08206174957107,0.428074790752158,0.106669486538912
2.57956013399921,0.271372039384085,0.144011358844643
1.12707131634457,0.482728041390022,0.115224012629072
1.19701322796036,0.218408736976487,0.126766529289551
