"Alpha","Beta"
0.755079387264989,0.537373932328038
0.29473458110251,3.55384838107109
0.118726697099935,2.39852494198416
0.60204296792772,2.24230016692765
0.437450567635398,2.98743155287518
0.871771195043583,1.14925771950475
0.180791323656939,2.80898673983812
0.053430433677566,0.957048221185664
0.631133993233659,0.339429806660361
0.0180672186910535,5.04631750533558
0.361581509363875,1.10526727393893
0.43242421240678,2.48134047676637
0.570885034956254,1.14602308085255
0.683758521602813,1.56625238594124
0.0222661934407903,17.249040935758
0.537412815397307,1.39550234086541
0.328522243101713,2.70068818358626
0.749043199451806,1.61018897146797
0.700940653592779,0.752743244799305
0.0101442605033987,19.5957446968074
0.0306424044406221,3.1495905969001
0.0948735599211672,1.41463570295553
0.423862229451773,2.12646410518508
0.299052360824829,2.43650044190534
0.485321611963214,1.13890478232817
0.241181289607565,1.16250647904745
