"Alphapos","Alphaneg","Beta"
0.505841228863267,0.528626121765891,0.655681862415613
0.516077932284036,0.289687411905383,3.0268423218125
0.436830031762146,0.029479229903134,3.75109799968854
0.515290308251489,0.617481322104019,2.39835453217526
0.484379433216011,0.409413158509095,3.03097743094062
0.781825525853688,0.81883597912481,1.19869536639808
0.17522131233185,0.225293758290673,2.9124434993614
0.0888665918275325,0.0603298098797899,1.24925947685002
0.154889051256506,0.79771409844355,0.936360690573341
0.0475708386076423,0.015954689962199,3.96989014994995
0.316402349288258,0.393320237140667,1.17293580765918
0.52152166301046,0.392938921212863,2.35212815767511
0.542809996787923,0.52104596858361,1.19605391016348
0.640893929807873,0.646198249739942,1.62360685229846
0.258884576477451,0.0358025466239002,8.01071154503026
0.766138395776622,0.415987069777853,1.5284380126673
0.319932003618134,0.342132905198974,2.80184352312604
0.800528242531856,0.6476044657742,1.63792818103176
0.640007077104386,0.712537744841726,0.902162968278976
0.172711828666547,0.0087533197577981,5.17874851614179
0.0574882690972851,0.0175729262338637,2.86775577004909
0.211407042040981,0.18236226660213,1.21007933026761
0.238582191737428,0.611476574824371,3.05411212729182
0.375019304760242,0.183300046787159,3.33159238008527
0.307973465477294,0.595246348289205,1.50541169989371
0.285960347252411,0.211203819431859,1.30148587928858
